file,z,F_Halpha,F_Hbeta,F_OIII
spectrum_10.fits,0.010011519,543.71375,499.6895,590.87134
spectrum_100.fits,0.010245152,22176.482,9378.167,8655.248
spectrum_11.fits,0.010012746,276.3851,252.53809,296.32162
spectrum_12.fits,0.010012832,11465.639,8312.998,8623.799
spectrum_13.fits,0.010014678,409.0226,342.87045,402.97266
spectrum_14.fits,0.010016446,956.7093,584.31964,1002.04706
spectrum_15.fits,0.010017677,208.87189,198.50948,224.1985
spectrum_16.fits,0.010018366,522.5229,463.58276,526.87555
spectrum_17.fits,0.010020492,226.06729,209.7967,247.19968
spectrum_18.fits,0.010022112,319.02704,215.94405,594.8293
spectrum_19.fits,0.010022211,1893.7905,858.1995,769.1077
spectrum_2.fits,0.010000313,514.6424,310.46088,609.55396
spectrum_20.fits,0.010024401,517.56635,343.4651,412.78104
spectrum_21.fits,0.010025358,474.07184,384.9956,504.45175
spectrum_22.fits,0.010026084,100.090416,78.79569,78.530495
spectrum_23.fits,0.010027081,1083.9937,888.87177,988.23145
spectrum_24.fits,0.010031311,75.87693,51.262047,68.051186
spectrum_25.fits,0.010033084,940.38763,606.39545,1222.3357
spectrum_26.fits,0.010034291,73.6425,80.318565,100.61069
spectrum_27.fits,0.010041282,1108.0948,625.9906,1387.699
spectrum_28.fits,0.010042007,238.19073,234.84346,271.19287
spectrum_29.fits,0.01004364,1072.2521,740.61755,820.9514
spectrum_3.fits,0.010000561,529.5853,363.82922,323.41904
spectrum_30.fits,0.010045351,870.0466,752.9246,824.83325
spectrum_31.fits,0.010046201,549.2718,289.89478,257.74478
spectrum_32.fits,0.010056317,463.36243,291.73337,510.75946
spectrum_33.fits,0.0100472905,1142.587,493.0514,774.66974
spectrum_34.fits,0.0100477785,413.31473,267.6343,360.97836
spectrum_35.fits,0.010048265,492.65295,373.41208,414.77924
spectrum_36.fits,0.0100482805,109.84045,120.84868,128.25803
spectrum_37.fits,0.010048441,583.5907,388.79303,701.1181
spectrum_38.fits,0.010048723,743.485,553.0486,742.2432
spectrum_39.fits,0.010050614,369.50665,241.38776,421.85114
spectrum_4.fits,0.009944479,162.55788,112.88591,143.27051
spectrum_41.fits,0.010052132,2259.5369,1149.6821,4198.411
spectrum_42.fits,0.01005848,203.14655,184.708,230.22932
spectrum_43.fits,0.010086028,20.95642,18.56156,19.674347
spectrum_44.fits,0.010065602,345.11685,200.04233,397.66116
spectrum_45.fits,0.010065945,9072.548,8046.757,8335.677
spectrum_46.fits,0.010067575,17529.291,8012.9927,7681.575
spectrum_47.fits,0.010069213,237.02249,233.16663,259.96997
spectrum_49.fits,0.010069554,461.8903,290.76486,408.5752
spectrum_5.fits,0.010005968,346.6489,398.8499,501.87357
spectrum_50.fits,0.010071943,65.67071,50.25846,58.7344
spectrum_51.fits,0.010078469,447.52322,387.50256,522.0832
spectrum_52.fits,0.0100794425,329.1971,327.50934,342.2462
spectrum_54.fits,0.010084021,794.34045,690.71027,898.0819
spectrum_55.fits,0.010086194,189.17526,137.97774,148.02492
spectrum_56.fits,0.010086698,322.34,332.4693,339.18774
spectrum_57.fits,0.010088581,257.59137,132.16925,153.98724
spectrum_58.fits,0.0100899385,329.62173,166.80005,267.515
spectrum_6.fits,0.010006177,176.72507,163.80377,185.3566
spectrum_60.fits,0.010094975,1024.1498,779.3543,824.32056
spectrum_61.fits,0.010099412,443.09155,320.21188,471.18085
spectrum_62.fits,0.01009961,348.49725,263.34998,346.64447
spectrum_63.fits,0.010100261,168.47298,172.87422,187.66551
spectrum_64.fits,0.010100654,214.25113,112.89904,203.56912
spectrum_65.fits,0.010100736,455.94354,335.41205,462.41254
spectrum_66.fits,0.01008072,97.154144,101.557884,120.51197
spectrum_67.fits,0.010106437,86.00572,94.50304,78.58046
spectrum_68.fits,0.01010736,167.49203,148.09552,193.38115
spectrum_69.fits,0.01010843,1587.04,1343.5153,1546.719
spectrum_7.fits,0.010006329,186.4824,103.52108,183.88757
spectrum_70.fits,0.010109445,201.22444,209.52016,248.49425
spectrum_71.fits,0.010110062,119.81353,111.99422,131.44524
spectrum_72.fits,0.010113757,1135.319,954.6594,1012.9275
spectrum_74.fits,0.010098475,283.0945,247.21124,282.7671
spectrum_75.fits,0.010117349,1351.9242,1028.3451,1255.546
spectrum_76.fits,0.010121591,271.85672,228.57198,240.50276
spectrum_78.fits,0.010124035,295.377,223.27513,235.82503
spectrum_79.fits,0.010124655,110.41107,90.396736,89.9645
spectrum_8.fits,0.010007663,1169.5306,779.19305,778.8994
spectrum_80.fits,0.010125365,769.2085,352.26056,275.85623
spectrum_81.fits,0.010126488,779.2817,560.4951,809.3379
spectrum_82.fits,0.010127797,660.2224,703.05927,778.88446
spectrum_83.fits,0.010127806,503.03815,286.79816,281.9445
spectrum_84.fits,0.010129433,1248.0116,716.5794,1265.4393
spectrum_85.fits,0.010112511,2781.4204,1454.4415,3212.399
spectrum_86.fits,0.010133936,7633.606,7281.6953,7312.9355
spectrum_87.fits,0.010134335,465.71213,430.49866,528.99695
spectrum_88.fits,0.010134766,104.21826,105.78378,130.52538
spectrum_89.fits,0.010123821,8566.427,7165.135,7263.6206
spectrum_9.fits,0.010007736,791.49255,430.77515,1252.8855
spectrum_92.fits,0.01013759,164.31355,165.31912,167.53088
spectrum_93.fits,0.010137606,909.4252,516.88385,978.99713
spectrum_94.fits,0.01013905,181.78673,116.81085,136.8172
spectrum_95.fits,0.010139111,3087.578,1324.7585,3495.188
spectrum_96.fits,0.010140014,158.6577,173.83179,178.71529
spectrum_97.fits,0.010140172,239.93378,220.44337,247.56921
spectrum_98.fits,0.010142371,101.78064,78.96457,86.87521
